url,name
/wiki/Kozmo.com,Kozmo.com
/wiki/Lands%27_End,Lands' End
/wiki/Levenger_Company,Levenger Company
/wiki/Lillian_Vernon_(company),Lillian Vernon (company)
/wiki/Linens_%27n_Things,Linens 'n Things
/wiki/Live_Nation_Entertainment,Live Nation Entertainment
/wiki/Living_Direct,Living Direct
/wiki/Lot18,Lot18
/wiki/MacHeist,MacHeist
/wiki/Magazines.com,Magazines.com
/wiki/Maghound,Maghound
/wiki/MahoganyBooks,MahoganyBooks
/wiki/Market_America,Market America
/wiki/Massachusetts_Bay_Trading_Company,Massachusetts Bay Trading Company
/wiki/Mel_Bernie_Company,Mel Bernie Company
/wiki/Mervyn%27s,Mervyn's
/wiki/Metro_One_Telecommunications,Metro One Telecommunications
/wiki/Micro_Center,Micro Center
"/wiki/Micro_Electronics,_Inc.","Micro Electronics, Inc."
/wiki/Microsoft_Store,Microsoft Store
/wiki/MidwayUSA,MidwayUSA
/wiki/Minted,Minted
/wiki/Mobile17,Mobile17
/wiki/Moda_Operandi,Moda Operandi
/wiki/Modell%27s_Sporting_Goods,Modell's Sporting Goods
/wiki/MonkeySports,MonkeySports
/wiki/Monoprice,Monoprice
/wiki/Moosejaw,Moosejaw
/wiki/Motorcycle_Superstore,Motorcycle Superstore
/wiki/Munchkin_(company),Munchkin (company)
/wiki/Murse_World,Murse World
/wiki/Native_Commerce,Native Commerce
/wiki/Nebraska_Furniture_Mart,Nebraska Furniture Mart
/wiki/Newegg,Newegg
/wiki/Nine_West,Nine West
/wiki/Norm_Thompson_Outfitters,Norm Thompson Outfitters
/wiki/One_Way_Furniture,One Way Furniture
/wiki/Online_Stores_Inc.,Online Stores Inc.
/wiki/OntheBoards.tv,OntheBoards.tv
/wiki/Open_Market,Open Market
/wiki/OpenTable,OpenTable
/wiki/Opticsplanet,Opticsplanet
/wiki/Orbitz,Orbitz
/wiki/Orderzone.com,Orderzone.com
/wiki/Organized_Living,Organized Living
/wiki/Orvis,Orvis
/wiki/OverstockArt.com,OverstockArt.com
/wiki/Paizo,Paizo
/wiki/PCRUSH,PCRUSH
